Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric.OG,CNH Rubric 2,Interdis Rubric 1,Citations,date for cite count,Abstract,Notes,,,,,,,,,,,,,,,,,
grant.2992744,410437,Varying effects of anadromous sockeye salmon on the trophic ecology of two species of resident salmonids in southwest Alaska,2007,"Scheuerell, MD; Moore, JW; Schindler, DE; Harvey, CJ.",FRESHWATER BIOLOGY,3,3,3,96,26Mar20,"1. Anadromous salmon transport marine‐derived nutrients and carbon to freshwater and riparian ecosystems upon their return to natal spawning systems. The ecological implications of these subsidies on the trophic ecology of resident fish remain poorly understood despite broad recognition of their potential importance. 2. We studied the within‐year changes in the ration size, composition and stable isotope signature of the diets of two resident salmonids (rainbow trout, Oncorhynchus mykiss; Arctic grayling, Thymallus arcticus) before and after the arrival of sockeye salmon (Oncorhynchus nerka) to their spawning grounds in the Bristol Bay region of southwest Alaska. 3. Ration size and energy intake increased by 480–620% for both species after salmon arrived. However, the cause of the increases differed between species such that rainbow trout switched to consuming salmon eggs, salmon flesh and blowflies that colonized salmon carcasses, whereas grayling primarily ate more benthic invertebrates that were presumably made available because of physical disturbances by spawning salmon. 4. We also observed an increase in the δ15N of rainbow trout diets post‐salmon, but not for grayling. This presumably led to the observed increase in the δ15N of rainbow trout with increasing body mass, but not for grayling. 5. Using a bioenergetics model, we predicted that salmon‐derived resources contributed a large majority of the energy necessary for growth in this resident fish community. Furthermore, the bioenergetics model also showed how seasonal changes in diet affected the stable isotope ratios of both species. These results expand upon a growing body of literature that highlights the different pathways whereby anadromous salmon influence coastal ecosystems, particularly resident fish.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,"Diet, movement, and growth of non-anadromous Dolly Varden Salvelinus malma in response to sockeye salmon Oncorhynchus nerka subsidies",2009,"Denton, KP; Rich, HB; Quinn TP. ",Transactions of the American Fisheries Society,3,3,3,28,26Mar20,"A large and growing body of literature has documented the transfer of marine‐derived nutrients from the ocean to freshwater and riparian systems by semelparous Pacific salmon Oncorhynchus spp. The pathways by which these nutrients reach resident fish are often indirect, and the evidence for direct benefits to the resident fish is not always conclusive. However, the consumption of salmon tissue (in one form or another) by resident fish would constitute a direct and efficient pathway for energy transfer. We studied a population of small‐bodied, nonanadromous Dolly Varden Salvelinus malma feeding on the fry and eggs of sockeye salmon O. nerka and blowfly (family Calliphoridae) larvae that had fed on salmon carcasses at a series of spring‐fed and otherwise unproductive ponds in southwestern Alaska. The Dolly Varden fed heavily on sockeye salmon fry when available, shifted their diet almost exclusively to eggs after salmon spawning commenced, and then shifted to blowfly larvae toward the end of the season. Dolly Varden large enough to eat eggs moved into ponds where sockeye salmon spawn synchronously with the arrival of the salmon, and Dolly Varden growth rates increased greatly once salmon eggs and blowfly maggots were available. Young‐of‐the‐year Dolly Varden, which were too small to eat eggs and fry, were concentrated in small streams between ponds where fewer sockeye salmon spawn, perhaps to minimize the risk of predation from larger conspecifics. These results indicate the importance of a pulse of salmon‐related food resources for this population of resident fish and their adaptations to take advantage of these resources. It is likely that similar dependence occurs in other systems where sockeye salmon produce a suite of temporally predictable energy resources; thus, resident fish may depend on large populations of salmon.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Long-term changes in rearing habitat and downstream movement by juvenile sockeye salmon (Oncorhynchus nerka) in an interconnected Alaska lake system,2008,"Westley, PAH; Hilborn, R; Quinn, TP; Ruggerone, GT; Schindler, DE.",ECOLOGY OF FRESHWATER FISH,3,3,3,17,31Mar20,"In some populations the phenomenon of partial migration develops where some individuals stay in a given habitat rather than move with the migratory component. Depending on the selective pressures, the individuals that stay may be larger, smaller or similar in size to those that move. Freshwater movements of juvenile sockeye salmon (Oncorhynchus nerka Walbaum) fry vary among and within populations, and can be complex, especially in interconnected lake systems. We examined variation of movement patterns by a sockeye salmon population in an interconnected lake system during a period of rapid natural habitat change and found that fry migrating downstream were shorter, had lower body condition, and were more likely ill and moribund compared with fish remaining in the lake. However, otolith microstructure measurements indicated that emigrants did not grow significantly slower than residents prior to downstream movement. We show that patterns (i.e., demography of migrants, timing of movement) of downstream movement have changed since the 1970s, corresponding to changes in rearing habitat. Our findings parallel the results with other salmonid species and are generally consistent with the paradigm that density‐dependent interactions from declining habitat availability or quality result in the downstream movement of competitively inferior individuals, although the mechanisms governing downstream migration are unclear in this system.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Biotic disturbance and community dynamics in salmon bearing streams,2008,"Moore JW, Schindler DE.",Journal of Animal Ecology,3,3,3,95,26Mar20,"Organisms can impact ecosystems via multiple pathways, often with positive and negative impacts on inhabitants. Understanding the context dependency of these types of impacts remains challenging. For example, organisms may perform different functions at different densities. Anadromous salmon accumulate > 99% of their lifetime growth in marine ecosystems, and then return to spawn, often at high densities, in relatively confined freshwaters. While previous research has focused on how salmon nutrients can fertilize benthic communities, we examined how an ecosystem engineer, sockeye salmon Oncorhynchus nerka, influences seasonal dynamics of stream benthic communities through their nest‐digging activities in south‐western Alaska, USA. Benthic invertebrate and algal abundance were quantified every 7–14 days during the open water seasons of 10 streams in riffle and run habitats across multiple years, leading to 25 different stream‐year combinations that spanned a large gradient of salmon density. In streams with few or no salmon, benthic algal and insect biomass were fairly constant throughout the season. However, in streams with more than 0·1 salmon m−2, algal and insect biomass decreased by an average of 75–85% during salmon spawning. Algal biomass recovered quickly following salmon disturbance, occasionally reaching pre‐salmon biomass. In contrast, in streams with more than 0·1 salmon m−2, aquatic insect populations did not recover to pre‐salmon levels within the same season. We observed no positive impacts of salmon on algae or insects via fertilization from carcass nutrients. Salmon, when their populations exceed thresholds in spawning density, are an important component of stream disturbance regimes and influence seasonal dynamics of benthic communities. Human activities that drive salmon densities below threshold densities, as has likely happened in many streams, will lead to altered seasonal dynamics of stream communities. Human activities that alter animal populations that are sources of biogenic disturbance can result in shifts in community dynamics.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,A metapopulation perspective for salmon and other anadromous fish,2007,"Schtickzelle, N; Quinn, TP.",FISH AND FISHERIES,3,2,1,102,26Mar20,"Salmonids are an important component of biodiversity, culture and economy in several regions, particularly the North Pacific Rim. Given this importance, they have been intensively studied for about a century, and the pioneering scientists recognized the critical link between population structure and conservation. Spatial structure is indeed of prime importance for salmon conservation and management. At first glance, the essence of the metapopulation concept, i.e. a population of populations, widely used on other organisms like butterflies, seems to be particularly relevant to salmon, and more generally to anadromous fish. Nevertheless, the concept is rarely used, and barely tested. Here, we present a metapopulation perspective for anadromous fish, assessing in terms of processes rather than of patterns the set of necessary conditions for metapopulation dynamics to exist. Salmon, and particularly sockeye salmon in Alaska, are used as an illustrative case study. A review of life history traits indicates that the three basic conditions are likely to be fulfilled by anadromous salmon: (i) the spawning habitat is discrete and populations are spatially separated by unsuitable habitat; (ii) some asynchrony is present in the dynamics of more or less distant populations and (iii) dispersal links populations because some salmon stray from their natal population. The implications of some peculiarities of salmon life history traits, unusual in classical metapopulations, are also discussed. Deeper understanding of the population structure of anadromous fish will be advanced by future studies on specific topics: (i) criteria must be defined for the delineation of suitable habitats that are based on features of the biotope and not on the presence of fish; (ii) the collection of long‐term data and the development of improved methods to determine age structure are essential for correctly estimating levels of asynchrony between populations and (iii) several key aspects of dispersal are still poorly understood and need to be examined in detail: the spatial and temporal scales of dispersal movements, the origin and destination populations instead of simple straying rates, and the relative reproductive success of immigrants and residents.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Genetic analysis of sympatric char populations in western Alaska: Arctic char (Salvelinus alpinus) and Dolly Varden (Salvelinus malma) are not two sides of the same coin,2008,"Taylor, EB; Lowery, E; Lilliestrale, A; Elz, A; Quinn, TP.",JOURNAL OF EVOLUTIONARY BIOLOGY,3,3,3,47,31Mar20,"The North Pacific Ocean has been of great significance to understanding biogeography and speciation in temperate faunas, including for two species of char (Salmonidae: Salvelinus) whose evolutionary relationship has been controversial. We examined the morphology and genetics (microsatellite and mitochondrial DNA) of Arctic char (Salvelinus alpinus) and Dolly Varden char (Salvelinus malma) in lake systems in western Alaska, the eastern and western Arctic, and south of the Alaskan Peninsula. Morphologically, each lake system contained two forms: one (Arctic char) largely confined to lake habitats and characterized by greater numbers of pyloric caeca, gill rakers, and shallower bodies, and another (Dolly Varden) predominated in adjacent stream habitats and was characterized by fewer pyloric caeca, gill rakers, and deeper bodies. MtDNA partial (550 bp) d‐loop sequences of both taxa were interspersed with each other within a single ‘Bering’ clade and demographic inferences suggested historical gene flow from Dolly Varden to Arctic char had occurred. By contrast, the taxa were strongly differentiated in sympatry across nine microsatellite loci in both lakes. Our data show that the two taxa are highly genetically distinct in sympatry, supporting their status as valid biological species, despite occasional hybridization. The interaction between these species highlights the importance of the North Pacific, and Beringia in particular, as an evolutionary wellspring of biodiversity.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Biodiversity loss in the ocean: How bad is it?,2007,"Hilborn, RW",SCIENCE,2,2,2,59,26Mar20,"The Research Article Impacts of biodiversity loss on ocean ecosystem services By B. Worm et al.(3 Nov. 2006, p. 787) projects that 100 of seafood-producing species stocks will collapse by 2048. The projection is inaccurate and overly pessimistic. Worm et al. define collapse as occurring when the current year's catch is <10 of the highest observed in a stock's time series. However, fish catch is rarely an adequate proxy for fish abundance, particularly for rebuilding stocks under management. A variety of biological, economic, and social factors and management decisions determine catches; low catches may occur even when stocks are high (e.g., due to low fish prices or the effects of restrictive management practices), and vice versa. The inadequacy of Worm et al.'s abundance proxy is illustrated by the time series of data for Georges Bank haddock (Melanogrammus aeglefinus). The highest catch for haddock occurred in 1965 at 150,362 tons (1). This catch occurred during a period of intense domestic and international fishing (1). In 2003, haddock catch was 12,576 tons, or 8 of the time series maximum. Under the Worm et al. definition, the stock would be categorized as collapsed in 2003. However, stock assessment data (1) estimate the total magnitude of the spawning biomass in 2003 to be 91 of that in 1965. Comparing the estimate of spawning stock biomass in 2003 to the level producing maximum sustainable yield (MSY), the stock was not even being overfished in 2003 (2). Because adequate stock abundance measures exist for only a portion of world fish stocks, this purported worldwide meta analysis required using data that represent the lowest common denominator of datathe total magnitude of the catch. However, if the catch ratio metric is so prone to misrepresentation of the true status of populations, as illustrated above, a synthesis of world fisheries based on these data is equally flawed. At the least, the authors should have conducted a calibration of their stock collapse metric with more complete stock abundance data available from the many worldwide sources where such data exist.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Managing fisheries is managing people: what has been learned?,2007,"Hilborn, R.",FISH AND FISHERIES,1,1,1,273,26Mar20,"Understanding the behaviour of fishermen is a key ingredient to successful fisheries management. The aggregate behaviour of fishing fleets can be predicted and managed with appropriate incentives. To determine appropriate incentives, we should look to successes to learn what works and what does not. In different fisheries incentive systems have been found to reduce the race‐for‐fish and make fisheries profitable, to stimulate stock rebuilding, to reduce bycatch, and to provide for reductions in illegal fishing. Yet, success can be evaluated in many dimensions, but is, in fact, rarely done – per cent overfished seems to be the dominant measure of performance. I evaluate the yield lost due to overfishing in several ecosystems and contrast the situation of North Atlantic cod where considerable yield is lost, to fisheries in New Zealand and the west coast of the USA where lost yield due to overfishing is very small. Much more systematic evaluation of the other aspects of fisheries performance is greatly needed. From examples explored in this paper I conclude that prevention of overfishing can be achieved with strong central governments enforcing conservative catch regulations, but economic success appears to require an appropriate incentive structure.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Escapement goal analysis and stock reconstruction of sockeye salmon populations (Oncorhynchus nerka) using life-history models,2008,"Lessard, RB; Hilborn, R; Chasco, BE.",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,3,2,2,11,31Mar20,"We compare life-history models with the Beverton–Holt approach of escapement goal analysis. We model the life history of a sockeye salmon (Onchorhynchus nerka) population from a spawning stage, through juvenile and adult stages, and ending with adults that return to spawn. We fit models to data by statistically comparing predicted and observed numbers of four dominant adult ages. Posterior estimates of parameters from Markov chain Monte Carlo simulations are then used to assess optimal harvest policies. We search for policies that produce the highest average yield. We find that it is possible to detect density dependence with a life-history model where analysis of Beverton–Holt stock–recruitment relationship fails to do so. We find that Beverton–Holt relationships produce policies and long-term yield estimates that are inconsistent with empirical trends. Conversely, we find that optimal spawning stock sizes and maximum sustained yield estimates using the life-history model estimate are consistent with the historical behavior of fisheries examined. Adding smolt data to the analysis does not substantially change predicted optimal spawning stock size, but decreases the variance in estimated posterior parameter distributions and policy variable distributions.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2992744,410437,Fleet dynamics and fishermen behavior: lessons for fisheries managers,2006,"Branch, TA; Hilborn, R; Haynie, AC; Fay, G; Flynn, L; Griffiths, J; Marshall, KN; Randall, JK; Scheuerell, JM; Ward, EJ; Young, M.",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1,2,1,325,25Mar20,"We review fleet dynamics and fishermen behavior from an economic and sociological basis in developing fisheries, in mature fisheries near full exploitation, and in senescent fisheries that are overexploited and overcapitalized. In all cases, fishing fleets behave rationally within the imposed regulatory structures. Successful, generalist fishermen who take risks often pioneer developing fisheries. At this stage, regulations and subsidies tend to encourage excessive entry and investments, creating the potential for serial depletion. In mature fisheries, regulations often restrict season length, vessel and gear types, fishing areas, and fleet size, causing or exacerbating the race for fish and excessive investment, and are typically unsuccessful except when combined with dedicated access privileges (e.g., territorial rights, individual quotas). In senescent fisheries, vessel buyback programs must account for the fishing power of individuals and their vessels. Subsidies should be avoided as they prolong the transition towards alternative employment. Fisheries managers need to create individual incentives that align fleet dynamics and fishermen behavior with the intended societal goals. These incentives can be created both through management systems like dedicated access privileges and through market forces.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2995422,709598,Land cover change in Colombia: surprising forest recovery trends between 2001 and 2010,2012,Sanchez-Cuervo et al. ,PLoS One,2,2,2,173,20Apr20,"Background
Monitoring land change at multiple spatial scales is essential for identifying hotspots of change, and for developing and implementing policies for conserving biodiversity and habitats. In the high diversity country of Colombia, these types of analyses are difficult because there is no consistent wall-to-wall, multi-temporal dataset for land-use and land-cover change.

Methodology/Principal Findings
To address this problem, we mapped annual land-use and land-cover from 2001 to 2010 in Colombia using MODIS (250 m) products coupled with reference data from high spatial resolution imagery (QuickBird) in Google Earth. We used QuickBird imagery to visually interpret percent cover of eight land cover classes used for classifier training and accuracy assessment. Based on these maps we evaluated land cover change at four spatial scales country, biome, ecoregion, and municipality. Of the 1,117 municipalities, 820 had a net gain in woody vegetation (28,092 km2) while 264 had a net loss (11,129 km2), which resulted in a net gain of 16,963 km2 in woody vegetation at the national scale. Woody regrowth mainly occurred in areas previously classified as mixed woody/plantation rather than agriculture/herbaceous. The majority of this gain occurred in the Moist Forest biome, within the montane forest ecoregions, while the greatest loss of woody vegetation occurred in the Llanos and Apure-Villavicencio ecoregions.

Conclusions
The unexpected forest recovery trend, particularly in the Andes, provides an opportunity to expand current protected areas and to promote habitat connectivity. Furthermore, ecoregions with intense land conversion (e.g. Northern Andean Páramo) and ecoregions under-represented in the protected area network (e.g. Llanos, Apure-Villavicencio Dry forest, and Magdalena-Urabá Moist forest ecoregions) should be considered for new protected areas.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2995422,709598,Calling activity of the common tink frog (Diasporus diastema) (Eleutherodactylidae) in secondary forests of the Caribbean of Costa Rica,2012,"Hilje et al. 
",Tropical Conservation Science,3,3,3,12,20Apr20,"Calling activity in terrestrial frogs can be used as a measure of habitat suitability for reproduction. We evaluated the calling activity of the common tink frog Diasporus diastema (Eleutherodactylidae) in 12 secondary forest sites that vary in age of recovery, and three old growth sites in the Caribbean of Costa Rica. We used visual and acoustic surveys along transects, and we identified only 26 individuals in a total of 12 hours of censuses for each site. We also used automated species identification from recordings, and we detected D. diastema in 10,605 of 49,273 recordings. The peak of the daily calling activity occurred from 2100h to 0100h, and the peak of monthly activity occurred in May. Calling activity did not vary among the different forest sites, suggesting that secondary forests can provide suitable habitat for D. diastema reproduction.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
grant.2995422,709598,Globalization and Land-Use Transitions in Latin America,2008,Grau and Aide,Ecology and Society,1,2,1,409,20Apr20,"Current socioeconomic drivers of land-use change associated with globalization are producing two contrasting land-use trends in Latin America. Increasing global food demand (particularly in Southeast Asia) accelerates deforestation in areas suitable for modern agriculture (e.g., soybean), severely threatening ecosystems, such as Amazonian rain forests, dry forests, and subtropical grasslands. Additionally, in the coming decades, demand for biofuels may become an emerging threat. In contrast, high yields in modern agricultural systems and rural–urban migration coupled with remittances promote the abandonment of marginal agricultural lands, thus favoring ecosystem recovery on mountains, deserts, and areas of poor soils, while improving human well-being. The potential switch from production in traditional extensive grazing areas to intensive modern agriculture provides opportunities to significantly increase food production while sparing land for nature conservation. This combination of emerging threats and opportunities requires changes in the way the conservation of Latin American ecosystems is approached. Land-use efficiency should be analyzed beyond the local-based paradigm that drives most conservation programs, and focus on large geographic scales involving long-distance fluxes of products, information, and people in order to maximize both agricultural production and the conservation of environmental services.",More than 10 citations - randomly selected 10,,,,,,,,,,,,,,,,,
