Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.2992744,410437,Varying effects of anadromous sockeye salmon on the trophic ecology of two species of resident salmonids in southwest Alaska,2007,"Scheuerell, MD; Moore, JW; Schindler, DE; Harvey, CJ.",FRESHWATER BIOLOGY,3,3,3,96,26-Mar-20,"1. Anadromous salmon transport marine‐derived nutrients and carbon to freshwater and riparian ecosystems upon their return to natal spawning systems. The ecological implications of these subsidies on the trophic ecology of resident fish remain poorly understood despite broad recognition of their potential importance. 2. We studied the within‐year changes in the ration size, composition and stable isotope signature of the diets of two resident salmonids (rainbow trout, Oncorhynchus mykiss; Arctic grayling, Thymallus arcticus) before and after the arrival of sockeye salmon (Oncorhynchus nerka) to their spawning grounds in the Bristol Bay region of southwest Alaska. 3. Ration size and energy intake increased by 480–620% for both species after salmon arrived. However, the cause of the increases differed between species such that rainbow trout switched to consuming salmon eggs, salmon flesh and blowflies that colonized salmon carcasses, whereas grayling primarily ate more benthic invertebrates that were presumably made available because of physical disturbances by spawning salmon. 4. We also observed an increase in the δ15N of rainbow trout diets post‐salmon, but not for grayling. This presumably led to the observed increase in the δ15N of rainbow trout with increasing body mass, but not for grayling. 5. Using a bioenergetics model, we predicted that salmon‐derived resources contributed a large majority of the energy necessary for growth in this resident fish community. Furthermore, the bioenergetics model also showed how seasonal changes in diet affected the stable isotope ratios of both species. These results expand upon a growing body of literature that highlights the different pathways whereby anadromous salmon influence coastal ecosystems, particularly resident fish.",More than 10 citations - randomly selected 10
grant.2992744,410437,A metapopulation perspective for salmon and other anadromous fish,2007,"Schtickzelle, N; Quinn, TP.",FISH AND FISHERIES,3,2,1,102,26-Mar-20,"Salmonids are an important component of biodiversity, culture and economy in several regions, particularly the North Pacific Rim. Given this importance, they have been intensively studied for about a century, and the pioneering scientists recognized the critical link between population structure and conservation. Spatial structure is indeed of prime importance for salmon conservation and management. At first glance, the essence of the metapopulation concept, i.e. a population of populations, widely used on other organisms like butterflies, seems to be particularly relevant to salmon, and more generally to anadromous fish. Nevertheless, the concept is rarely used, and barely tested. Here, we present a metapopulation perspective for anadromous fish, assessing in terms of processes rather than of patterns the set of necessary conditions for metapopulation dynamics to exist. Salmon, and particularly sockeye salmon in Alaska, are used as an illustrative case study. A review of life history traits indicates that the three basic conditions are likely to be fulfilled by anadromous salmon: (i) the spawning habitat is discrete and populations are spatially separated by unsuitable habitat; (ii) some asynchrony is present in the dynamics of more or less distant populations and (iii) dispersal links populations because some salmon stray from their natal population. The implications of some peculiarities of salmon life history traits, unusual in classical metapopulations, are also discussed. Deeper understanding of the population structure of anadromous fish will be advanced by future studies on specific topics: (i) criteria must be defined for the delineation of suitable habitats that are based on features of the biotope and not on the presence of fish; (ii) the collection of long‐term data and the development of improved methods to determine age structure are essential for correctly estimating levels of asynchrony between populations and (iii) several key aspects of dispersal are still poorly understood and need to be examined in detail: the spatial and temporal scales of dispersal movements, the origin and destination populations instead of simple straying rates, and the relative reproductive success of immigrants and residents.",More than 10 citations - randomly selected 10
grant.2992744,410437,Biotic disturbance and community dynamics in salmon bearing streams,2008,"Moore JW, Schindler DE.",Journal of Animal Ecology,3,3,3,95,26-Mar-20,"Organisms can impact ecosystems via multiple pathways, often with positive and negative impacts on inhabitants. Understanding the context dependency of these types of impacts remains challenging. For example, organisms may perform different functions at different densities. Anadromous salmon accumulate > 99% of their lifetime growth in marine ecosystems, and then return to spawn, often at high densities, in relatively confined freshwaters. While previous research has focused on how salmon nutrients can fertilize benthic communities, we examined how an ecosystem engineer, sockeye salmon Oncorhynchus nerka, influences seasonal dynamics of stream benthic communities through their nest‐digging activities in south‐western Alaska, USA. Benthic invertebrate and algal abundance were quantified every 7–14 days during the open water seasons of 10 streams in riffle and run habitats across multiple years, leading to 25 different stream‐year combinations that spanned a large gradient of salmon density. In streams with few or no salmon, benthic algal and insect biomass were fairly constant throughout the season. However, in streams with more than 0·1 salmon m−2, algal and insect biomass decreased by an average of 75–85% during salmon spawning. Algal biomass recovered quickly following salmon disturbance, occasionally reaching pre‐salmon biomass. In contrast, in streams with more than 0·1 salmon m−2, aquatic insect populations did not recover to pre‐salmon levels within the same season. We observed no positive impacts of salmon on algae or insects via fertilization from carcass nutrients. Salmon, when their populations exceed thresholds in spawning density, are an important component of stream disturbance regimes and influence seasonal dynamics of benthic communities. Human activities that drive salmon densities below threshold densities, as has likely happened in many streams, will lead to altered seasonal dynamics of stream communities. Human activities that alter animal populations that are sources of biogenic disturbance can result in shifts in community dynamics.",More than 10 citations - randomly selected 10
grant.2992744,410437,Genetic analysis of sympatric char populations in western Alaska: Arctic char (Salvelinus alpinus) and Dolly Varden (Salvelinus malma) are not two sides of the same coin,2008,"Taylor, EB; Lowery, E; Lilliestrale, A; Elz, A; Quinn, TP.",JOURNAL OF EVOLUTIONARY BIOLOGY,3,,,43,,,More than 10 citations - randomly selected 10
grant.2992744,410437,Escapement goal analysis and stock reconstruction of sockeye salmon populations (Oncorhynchus nerka) using life-history models,2008,"Lessard, RB; Hilborn, R; Chasco, BE.",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,3,,,11,,,More than 10 citations - randomly selected 10
grant.2992744,410437,Long-term changes in rearing habitat and downstream movement by juvenile sockeye salmon (Oncorhynchus nerka) in an interconnected Alaska lake system,2008,"Westley, PAH; Hilborn, R; Quinn, TP; Ruggerone, GT; Schindler, DE.",ECOLOGY OF FRESHWATER FISH,3,,,17,,,More than 10 citations - randomly selected 10
grant.2992744,410437,"Diet, movement, and growth of non-anadromous Dolly Varden Salvelinus malma in response to sockeye salmon Oncorhynchus nerka subsidies",2009,"Denton, KP; Rich, HB; Quinn TP. ",Transactions of the American Fisheries Society,3,3,3,28,26-Mar-20,"A large and growing body of literature has documented the transfer of marine‐derived nutrients from the ocean to freshwater and riparian systems by semelparous Pacific salmon Oncorhynchus spp. The pathways by which these nutrients reach resident fish are often indirect, and the evidence for direct benefits to the resident fish is not always conclusive. However, the consumption of salmon tissue (in one form or another) by resident fish would constitute a direct and efficient pathway for energy transfer. We studied a population of small‐bodied, nonanadromous Dolly Varden Salvelinus malma feeding on the fry and eggs of sockeye salmon O. nerka and blowfly (family Calliphoridae) larvae that had fed on salmon carcasses at a series of spring‐fed and otherwise unproductive ponds in southwestern Alaska. The Dolly Varden fed heavily on sockeye salmon fry when available, shifted their diet almost exclusively to eggs after salmon spawning commenced, and then shifted to blowfly larvae toward the end of the season. Dolly Varden large enough to eat eggs moved into ponds where sockeye salmon spawn synchronously with the arrival of the salmon, and Dolly Varden growth rates increased greatly once salmon eggs and blowfly maggots were available. Young‐of‐the‐year Dolly Varden, which were too small to eat eggs and fry, were concentrated in small streams between ponds where fewer sockeye salmon spawn, perhaps to minimize the risk of predation from larger conspecifics. These results indicate the importance of a pulse of salmon‐related food resources for this population of resident fish and their adaptations to take advantage of these resources. It is likely that similar dependence occurs in other systems where sockeye salmon produce a suite of temporally predictable energy resources; thus, resident fish may depend on large populations of salmon.",More than 10 citations - randomly selected 10
grant.3057645,508091,Agroecosystem restoration through strategic integration of perennials,2006,"Schulte, L.A., M. Liebman, H. Asbjornsen, T. Crow",Journal of Soil and Water Conservation,3,2,1,89,26-Mar-20,"A dominant trend in arable farming systems worldwide is the replacement of large areas of perennial vegetation with a small number of annual crops (Green et al., 2005). Some of this change occurs as native vegetation is replaced by annual crops, but change in the latter half of the 20th Century has also occurred through the simplification of diverse systems that formerly included perennial forages and annual crops (Bullock, 1992). Extreme examples of these processes can be seen over the last century in the U.S. Midwest, where prairies, savannas, forests, and wetlands have been almost completely replaced by corn and soybean (Figure 1). Landscape simplification and the expansion of annual crops have been accompanied, and to a large extent driven, by the broad scale use of synthetic pesticides and fertilizers, new cultivars and machinery, and soil drainage and irrigation. The resulting increases in yields and farm labor productivity are well documented (e.g., Cochrane, 1993). Less well documented but increasingly evident are the unintended consequences of simplified, intensive farming systems, including contamination of drinking water sources and coastal areas by soil sediment, pesticides, nitrates, and phosphates; threats to human health and non-target plant and animal species resulting from","actual title seems to be different than the one listed on grants page; no abstract (this is an ""excerpt"" instead)"
grant.3057645,508091,Variation in water uptake dynamics among contrasting agricultural and native plant communities in the Midwestern U.S.,2007,"Asbjornsen, H., G. Mora, M. Helmers.","Agriculture, Ecosystems, and Environment",3,3,1,112,26-Mar-20,"Landscape-scale conversion of deeply rooted perennial native vegetation to annual crops has altered the ecohydrological balance in the Midwestern U.S. One of the major ways this may occur is through plant species’ abilities to access and take up water from different depths in the soil profile. In this study, we use stable isotope techniques to assess plant water uptake patterns for plants growing in four contrasting annual and perennial ecosystems in central Iowa: row-cropped cornfield, prairie, oak savanna, and woodland. To address limitations of conventional approaches to analyzing isotopic data, especially when isotopic profiles in the soil are complex, we employ an alternative ‘multiple source mass-balance isotopic’ approach suitable for determining probable contributions of multiple potential sources to total plant water uptake. Observed differences in isotopic profiles among the plant communities were attributed to differences in infiltration rates, plant water uptake rates, the degree of evaporative isotopic fractionation under the different vegetative covers, and processes of hydraulic redistribution. Savanna (Quercus macrocarpa Mixch) and woodland (Q. macrocarpa, Umus americana L.) trees had the lowest stem water δ18O values (−6.12‰, −7.77‰, and −7.61‰, respectively), whereas corn (Zea mays L.) and prairie (Andropogon gerardii) exhibited higher stem water δ18O values (−5.49‰ and −5.85‰, respectively), suggesting more shallow sources of water uptake for the latter. Frequency histographs produced from the multiple source mass-balance analysis confirmed that the corn and prairie species obtained up to 45% and 36% of their water from the upper 0–20 cm soil horizon, respectively. In contrast, oak trees growing in the savanna and woodland obtained up to 40% and 20% of their water from the upper 20 cm, and up to 60% and 80% of their water from depths >60 cm, respectively. Lack of strong isotopic gradients in the soil profiles combined with irregularities in the slope of the isotopic gradient by depth complicated interpretation of the data. However, an important advantage of the alternative multiple source mass-balance isotopic approach over conventional approaches was its capability of producing more quantitative and objective estimates for the probable contributions of multiple sources to total plant water uptake. This study highlights how changes in land use and vegetative cover in the Midwest affects plant water uptake patterns, and suggests how these changes may influence larger landscape scale alterations in the hydrologic balance.",actual title differs from the one listed on the grants page
grant.3057645,508091,High crop prices and conservation: Raising the stakes.,2008,"Secchi, S., Tyndall, J., Schulte, L.A., Asbjornsen, H.",Journal of Soil and Water Conservation,1,,,65,,,
grant.3057645,508091,Sap flux patterns and transpiration of a bur oak savanna undergoing woody encroachment and restoration in Central Iowa,2007,"Asbjornsen, H., Tomer, M., Gomez-Cárdenas, M., Brudvig, L.A., Schilling, K.",Forest Ecology and Management,3,,,cant find,,,
grant.3037334,308486,"Ecological change, group territoriality and non-linear population dynamics in Serengeti lions",2005,Packer et al. ,Science,3,3,3,224,19-Mar-20,"Territorial behavior is expected to buffer populations against short-term environmental perturbations, but we have found that group living in African lions causes a complex response to long-term ecological change. Despite numerous gradual changes in prey availability and vegetative cover, regional populations of Serengeti lions remained stable for 10- to 20-year periods and only shifted to new equilibria in sudden leaps. Although gradually improving environmental conditions provided sufficient resources to permit the subdivision of preexisting territories, regional lion populations did not expand until short-term conditions supplied enough prey to generate large cohorts of surviving young. The results of a simulation model show that the observed pattern of “saltatory equilibria” results from the lions' grouping behavior.",
